 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.350220477366402605e+00+0.000000000000000000e+00j), (7.193983340197151577e+00+0.000000000000000000e+00j), (1.053681817961726352e+01+0.000000000000000000e+00j), (1.439430329873657222e+01+0.000000000000000000e+00j), (1.774084135653759020e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.340404186843088041e+00+0.000000000000000000e+00j), (7.193955675499278613e+00+0.000000000000000000e+00j), (1.052702926171733644e+01+0.000000000000000000e+00j), (1.439423552193320610e+01+0.000000000000000000e+00j), (1.773098466695317654e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.330205002317033092e+00+0.000000000000000000e+00j), (7.193927112289173920e+00+0.000000000000000000e+00j), (1.051685834088270255e+01+0.000000000000000000e+00j), (1.439416543343941512e+01+0.000000000000000000e+00j), (1.772074366294759429e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.319623274365515186e+00+0.000000000000000000e+00j), (7.193897670826016721e+00+0.000000000000000000e+00j), (1.050630574783174609e+01+0.000000000000000000e+00j), (1.439409307086489775e+01+0.000000000000000000e+00j), (1.771011871284920502e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.308659392280944189e+00+0.000000000000000000e+00j), (7.193867371920301679e+00+0.000000000000000000e+00j), (1.049537185145113227e+01+0.000000000000000000e+00j), (1.439401847284617908e+01+0.000000000000000000e+00j), (1.769911022418148860e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.297313788112745669e+00+0.000000000000000000e+00j), (7.193836236915688076e+00+0.000000000000000000e+00j), (1.048405706285516814e+01+0.000000000000000000e+00j), (1.439394167901557431e+01+0.000000000000000000e+00j), (1.768771864769128399e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.285586941125025362e+00+0.000000000000000000e+00j), (7.193804287670989339e+00+0.000000000000000000e+00j), (1.047236183986033353e+01+0.000000000000000000e+00j), (1.439386272997133176e+01+0.000000000000000000e+00j), (1.767594448179361422e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.273479382711652619e+00+0.000000000000000000e+00j), (7.193771546542784279e+00+0.000000000000000000e+00j), (1.046028669191719551e+01+0.000000000000000000e+00j), (1.439378166724925379e+01+0.000000000000000000e+00j), (1.766378827747504587e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.260991701816674748e+00+0.000000000000000000e+00j), (7.193738036368351629e+00+0.000000000000000000e+00j), (1.044783218554680637e+01+0.000000000000000000e+00j), (1.439369853329594484e+01+0.000000000000000000e+00j), (1.765125064370341690e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.248124550912059760e+00+0.000000000000000000e+00j), (7.193703780449068219e+00+0.000000000000000000e+00j), (1.043499895033427549e+01+0.000000000000000000e+00j), (1.439361337144399755e+01+0.000000000000000000e+00j), (1.763833225339661936e+01+0.000000000000000000e+00j)
